schlag_nr,endzug_start,auslage,endzug_end,vorrolle_frames,antrieb_frames,dauer_s
328,9854,9873,9884,19,11,1.2000173417267985
329,9884,9903,9914,19,11,1.2000173417267985
330,9914,9932,9943,18,11,1.1600167636692387
331,9943,9961,9972,18,11,1.1600167636692387
332,9972,9992,10003,20,11,1.2400179197843584
333,10003,10023,10034,20,11,1.2400179197843584
334,10034,10052,10064,18,12,1.2000173417267985
335,10064,10082,10093,18,11,1.1600167636692387
336,10093,10112,10123,19,11,1.2000173417267985
337,10123,10141,10152,18,11,1.1600167636692387
338,10152,10171,10182,19,11,1.2000173417267985
339,10182,10200,10212,18,12,1.2000173417267985
340,10212,10230,10242,18,12,1.2000173417267985
341,10242,10260,10271,18,11,1.1600167636692387
342,10271,10290,10301,19,11,1.2000173417267985
343,10301,10320,10332,19,12,1.2400179197843584
344,10332,10351,10362,19,11,1.2000173417267985
345,10362,10381,10393,19,12,1.2400179197843584
346,10393,10411,10423,18,12,1.2000173417267985
347,10423,10442,10454,19,12,1.2400179197843584
348,10454,10471,10482,17,11,1.1200161856116786
349,10482,10499,10510,17,11,1.1200161856116786
350,10510,10529,10541,19,12,1.2400179197843584
351,10541,10558,10570,17,12,1.1600167636692387
352,10570,10588,10600,18,12,1.2000173417267985
353,10600,10618,10629,18,11,1.1600167636692387
354,10629,10647,10658,18,11,1.1600167636692387
355,10658,10677,10689,19,12,1.2400179197843584
356,10689,10708,10719,19,11,1.2000173417267985
357,10719,10738,10750,19,12,1.2400179197843584
358,10750,10768,10780,18,12,1.2000173417267985
359,10780,10797,10809,17,12,1.1600167636692387
360,10809,10827,10839,18,12,1.2000173417267985
361,10839,10857,10868,18,11,1.1600167636692387
362,10868,10887,10899,19,12,1.2400179197843584
363,10899,10919,10930,20,11,1.2400179197843584
364,10930,10948,10959,18,11,1.1600167636692387
365,10959,10979,10990,20,11,1.2400179197843584
366,10990,11009,11020,19,11,1.2000173417267985
367,11020,11040,11051,20,11,1.2400179197843584
368,11051,11070,11081,19,11,1.2000173417267985
369,11081,11100,11111,19,11,1.2000173417267985
370,11111,11129,11141,18,12,1.2000173417267985
371,11141,11160,11171,19,11,1.2000173417267985
372,11171,11191,11202,20,11,1.2400179197843584
373,11202,11221,11232,19,11,1.2000173417267985
